# z sigma(z)
1.006114408373832703e-01 2.999999999999999889e-02
1.204892322421073914e-01 3.195389075890833763e-02
1.520290076732635498e-01 3.019702477433412399e-02
1.726167500019073486e-01 3.404574432571368797e-02
2.066356390714645386e-01 3.401568600761149808e-02
2.299227118492126465e-01 3.799976241079199013e-02
2.545924782752990723e-01 4.098073415396419339e-02
2.818955779075622559e-01 4.414282603622737833e-02
3.087431490421295166e-01 5.298676443368620370e-02
3.375213146209716797e-01 6.370239503489519284e-02
