# z sigma(z)
9.405279159545898438e-02 3.257114546318945481e-02
1.214702427387237549e-01 3.381112209182946665e-02
1.478189975023269653e-01 3.447484533939804141e-02
1.752231121063232422e-01 4.015229685246573393e-02
2.018906176090240479e-01 4.943339368513109677e-02
2.295589894056320190e-01 6.053548178765977977e-02
2.546216845512390137e-01 9.085234533823019487e-02
2.823760509490966797e-01 1.029918309467903886e-01
3.106332421302795410e-01 1.027666515655157875e-01
3.396354019641876221e-01 9.905648179696180389e-02
